12,6,11,73.0%
12,6,12,73.0%
12,6,13,73.0%
12,6,14,73.0%
12,6,15,73.0%
12,6,16,73.0%
12,6,17,73.0%
12,6,18,73.0%
12,6,19,73.0%
12,6,20,74.0%
13,6,1,44.0%
13,6,2,63.0%
13,6,3,69.0%
13,6,4,71.0%
13,6,5,73.0%
13,6,6,73.0%
13,6,7,74.0%
13,6,8,73.0%
13,6,9,73.0%
13,6,10,73.0%
13,6,11,73.0%
13,6,12,73.0%
13,6,13,73.0%
13,6,14,73.0%
13,6,15,73.0%
13,6,16,74.0%
13,6,17,74.0%
13,6,18,75.0%
13,6,19,75.0%
13,6,20,75.0%
14,6,1,44.0%
14,6,2,65.0%
14,6,3,70.0%
14,6,4,72.0%
14,6,5,74.0%
14,6,6,74.0%
14,6,7,75.0%
14,6,8,75.0%
14,6,9,75.0%
14,6,10,75.0%
14,6,11,75.0%
14,6,12,75.0%
14,6,13,74.0%
14,6,14,74.0%
14,6,15,75.0%
14,6,16,75.0%
14,6,17,75.0%
14,6,18,75.0%
14,6,19,75.0%
14,6,20,75.0%
15,6,1,44.0%
15,6,2,66.0%
15,6,3,70.0%
15,6,4,73.0%
15,6,5,74.0%
15,6,6,74.0%
15,6,7,75.0%
15,6,8,75.0%
15,6,9,75.0%
15,6,10,75.0%
15,6,11,75.0%
15,6,12,75.0%
15,6,13,75.0%
15,6,14,75.0%
15,6,15,75.0%
15,6,16,75.0%
15,6,17,75.0%
15,6,18,75.0%
15,6,19,75.0%
15,6,20,75.0%
16,6,1,44.0%
16,6,2,66.0%
16,6,3,72.0%
16,6,4,75.0%
16,6,5,75.0%
16,6,6,75.0%
16,6,7,75.0%
16,6,8,75.0%
16,6,9,75.0%
16,6,10,75.0%
16,6,11,75.0%
16,6,12,75.0%
16,6,13,75.0%
16,6,14,75.0%
16,6,15,75.0%
16,6,16,75.0%
16,6,17,75.0%
16,6,18,75.0%
16,6,19,75.0%
16,6,20,75.0%
17,6,1,44.0%
17,6,2,66.0%
17,6,3,73.0%
17,6,4,75.0%
17,6,5,75.0%
17,6,6,75.0%
17,6,7,75.0%
17,6,8,75.0%
17,6,9,75.0%
17,6,10,75.0%
17,6,11,75.0%
17,6,12,75.0%
17,6,13,75.0%
17,6,14,75.0%
17,6,15,75.0%
17,6,16,75.0%
17,6,17,75.0%
17,6,18,75.0%
17,6,19,75.0%
17,6,20,75.0%
18,6,1,44.0%
18,6,2,66.0%
18,6,3,73.0%
18,6,4,75.0%
18,6,5,75.0%
18,6,6,75.0%
18,6,7,75.0%
18,6,8,75.0%
18,6,9,75.0%
18,6,10,75.0%
18,6,11,75.0%
18,6,12,75.0%
18,6,13,75.0%
18,6,14,75.0%
18,6,15,75.0%
18,6,16,75.0%
18,6,17,75.0%
18,6,18,75.0%
18,6,19,75.0%
18,6,20,75.0%
19,6,1,44.0%
19,6,2,66.0%
19,6,3,73.0%
19,6,4,75.0%
19,6,5,75.0%
19,6,6,75.0%
19,6,7,75.0%
19,6,8,75.0%
19,6,9,75.0%
19,6,10,75.0%
19,6,11,75.0%
19,6,12,75.0%
19,6,13,75.0%
19,6,14,75.0%
19,6,15,75.0%
19,6,16,75.0%
19,6,17,75.0%
19,6,18,75.0%
19,6,19,75.0%
19,6,20,75.0%
20,6,1,44.0%
20,6,2,66.0%
20,6,3,73.0%
20,6,4,75.0%
20,6,5,75.0%
20,6,6,75.0%
20,6,7,75.0%
20,6,8,75.0%
20,6,9,75.0%
20,6,10,75.0%
20,6,11,75.0%
20,6,12,75.0%
20,6,13,75.0%
20,6,14,75.0%
20,6,15,75.0%
20,6,16,75.0%
20,6,17,75.0%
20,6,18,75.0%
20,6,19,75.0%
20,6,20,75.0%
1,6,1,5.0%
1,6,2,2.0%
1,6,3,3.0%
1,6,4,1.0%
1,6,5,2.0%
1,6,6,1.0%
1,6,7,0.0%
1,6,8,0.0%
1,6,9,1.0%
1,6,10,0.0%
1,6,11,1.0%
1,6,12,0.0%
1,6,13,0.0%
1,6,14,0.0%
1,6,15,0.0%
1,6,16,0.0%
1,6,17,0.0%
1,6,18,0.0%
1,6,19,0.0%
1,6,20,0.0%
2,6,1,12.0%
2,6,2,10.0%
2,6,3,6.0%
2,6,4,7.0%
2,6,5,4.0%
2,6,6,3.0%
2,6,7,1.0%
2,6,8,1.0%
2,6,9,1.0%
2,6,10,1.0%
2,6,11,1.0%
2,6,12,1.0%
2,6,13,1.0%
2,6,14,1.0%
2,6,15,1.0%
2,6,16,1.0%
2,6,17,1.0%
2,6,18,0.0%
2,6,19,1.0%
2,6,20,1.0%
3,6,1,17.0%
3,6,2,19.0%
3,6,3,15.0%
3,6,4,15.0%
3,6,5,13.0%
3,6,6,15.0%
3,6,7,11.0%
3,6,8,9.0%
3,6,9,7.0%
3,6,10,3.0%
3,6,11,3.0%
3,6,12,3.0%
3,6,13,3.0%
3,6,14,4.0%
3,6,15,7.0%
3,6,16,6.0%
3,6,17,5.0%
3,6,18,5.0%
3,6,19,4.0%
3,6,20,4.0%
4,6,1,20.0%
4,6,2,23.0%
4,6,3,22.0%
4,6,4,24.0%
4,6,5,27.0%
4,6,6,26.0%
4,6,7,27.0%
4,6,8,29.0%
4,6,9,27.0%
4,6,10,24.0%
4,6,11,25.0%
4,6,12,22.0%
4,6,13,21.0%
4,6,14,23.0%
4,6,15,23.0%
4,6,16,23.0%
4,6,17,25.0%
4,6,18,25.0%
4,6,19,23.0%
4,6,20,23.0%
5,6,1,22.0%
5,6,2,30.0%
5,6,3,36.0%
5,6,4,40.0%
5,6,5,41.0%
5,6,6,44.0%
5,6,7,43.0%
5,6,8,45.0%
5,6,9,39.0%
5,6,10,38.0%
5,6,11,37.0%
5,6,12,38.0%
5,6,13,37.0%
5,6,14,38.0%
5,6,15,35.0%
5,6,16,34.0%
5,6,17,34.0%
5,6,18,36.0%
5,6,19,37.0%
5,6,20,39.0%
6,6,1,24.0%
6,6,2,44.0%
6,6,3,46.0%
6,6,4,46.0%
6,6,5,58.0%
6,6,6,58.0%
6,6,7,58.0%
6,6,8,58.0%
6,6,9,56.0%
6,6,10,53.0%
6,6,11,50.0%
6,6,12,49.0%
6,6,13,48.0%
6,6,14,51.0%
6,6,15,50.0%
6,6,16,50.0%
6,6,17,51.0%
6,6,18,50.0%
6,6,19,50.0%
6,6,20,49.0%
7,6,1,31.0%
7,6,2,49.0%
7,6,3,58.0%
7,6,4,58.0%
7,6,5,62.0%
7,6,6,62.0%
7,6,7,67.0%
7,6,8,63.0%
7,6,9,69.0%
7,6,10,68.0%
7,6,11,61.0%
7,6,12,65.0%
7,6,13,64.0%
7,6,14,64.0%
7,6,15,66.0%
7,6,16,65.0%
7,6,17,65.0%
7,6,18,64.0%
7,6,19,65.0%
7,6,20,65.0%
8,6,1,36.0%
8,6,2,52.0%
8,6,3,64.0%
8,6,4,60.0%
8,6,5,65.0%
8,6,6,67.0%
8,6,7,71.0%
8,6,8,72.0%
8,6,9,72.0%
8,6,10,71.0%
8,6,11,71.0%
8,6,12,73.0%
8,6,13,73.0%
8,6,14,72.0%
8,6,15,73.0%
8,6,16,70.0%
8,6,17,69.0%
8,6,18,70.0%
8,6,19,69.0%
8,6,20,71.0%
9,6,1,41.0%
9,6,2,58.0%
9,6,3,65.0%
9,6,4,62.0%
9,6,5,67.0%
9,6,6,70.0%
9,6,7,71.0%
9,6,8,73.0%
9,6,9,73.0%
9,6,10,73.0%
9,6,11,73.0%
9,6,12,73.0%
9,6,13,73.0%
9,6,14,73.0%
9,6,15,73.0%
9,6,16,73.0%
9,6,17,73.0%
9,6,18,73.0%
9,6,19,73.0%
9,6,20,73.0%
10,6,1,41.0%
10,6,2,61.0%
10,6,3,65.0%
10,6,4,67.0%
10,6,5,69.0%
10,6,6,72.0%
10,6,7,73.0%
10,6,8,73.0%
10,6,9,73.0%
10,6,10,73.0%
10,6,11,73.0%
10,6,12,73.0%
10,6,13,73.0%
10,6,14,73.0%
10,6,15,73.0%
10,6,16,73.0%
10,6,17,73.0%
10,6,18,73.0%
10,6,19,73.0%
10,6,20,73.0%
11,6,1,41.0%
11,6,2,62.0%
11,6,3,65.0%
11,6,4,67.0%
11,6,5,73.0%
11,6,6,73.0%
11,6,7,73.0%
11,6,8,73.0%
11,6,9,73.0%
11,6,10,73.0%
11,6,11,73.0%
11,6,12,73.0%
11,6,13,73.0%
11,6,14,73.0%
11,6,15,73.0%
11,6,16,73.0%
11,6,17,73.0%
11,6,18,73.0%
11,6,19,73.0%
11,6,20,73.0%
12,6,1,42.0%
12,6,2,63.0%
12,6,3,69.0%
12,6,4,71.0%
12,6,5,73.0%
12,6,6,73.0%
12,6,7,73.0%
12,6,8,73.0%
12,6,9,73.0%
12,6,10,73.0%
12,6,11,73.0%
12,6,12,73.0%
12,6,13,73.0%
12,6,14,73.0%
12,6,15,73.0%
12,6,16,73.0%
12,6,17,73.0%
12,6,18,73.0%
12,6,19,73.0%
12,6,20,74.0%
13,6,1,44.0%
13,6,2,63.0%
13,6,3,69.0%
13,6,4,71.0%
13,6,5,73.0%
13,6,6,73.0%
13,6,7,74.0%
13,6,8,73.0%
13,6,9,73.0%
13,6,10,73.0%
13,6,11,73.0%
13,6,12,73.0%
13,6,13,73.0%
13,6,14,73.0%
13,6,15,73.0%
13,6,16,74.0%
13,6,17,74.0%
13,6,18,75.0%
13,6,19,75.0%
13,6,20,75.0%
14,6,1,44.0%
14,6,2,65.0%
14,6,3,70.0%
14,6,4,72.0%
14,6,5,74.0%
14,6,6,74.0%
14,6,7,75.0%
14,6,8,75.0%
14,6,9,75.0%
14,6,10,75.0%
14,6,11,75.0%
14,6,12,75.0%
14,6,13,74.0%
14,6,14,74.0%
14,6,15,75.0%
14,6,16,75.0%
14,6,17,75.0%
14,6,18,75.0%
14,6,19,75.0%
14,6,20,75.0%
15,6,1,44.0%
15,6,2,66.0%
15,6,3,70.0%
15,6,4,73.0%
15,6,5,74.0%
15,6,6,74.0%
15,6,7,75.0%
15,6,8,75.0%
15,6,9,75.0%
15,6,10,75.0%
15,6,11,75.0%
15,6,12,75.0%
15,6,13,75.0%
15,6,14,75.0%
15,6,15,75.0%
15,6,16,75.0%
15,6,17,75.0%
15,6,18,75.0%
15,6,19,75.0%
15,6,20,75.0%
16,6,1,44.0%
16,6,2,66.0%
16,6,3,72.0%
16,6,4,75.0%
16,6,5,75.0%
16,6,6,75.0%
16,6,7,75.0%
16,6,8,75.0%
16,6,9,75.0%
16,6,10,75.0%
16,6,11,75.0%
16,6,12,75.0%
16,6,13,75.0%
16,6,14,75.0%
16,6,15,75.0%
16,6,16,75.0%
16,6,17,75.0%
16,6,18,75.0%
16,6,19,75.0%
16,6,20,75.0%
17,6,1,44.0%
17,6,2,66.0%
17,6,3,73.0%
17,6,4,75.0%
17,6,5,75.0%
17,6,6,75.0%
17,6,7,75.0%
17,6,8,75.0%
17,6,9,75.0%
17,6,10,75.0%
17,6,11,75.0%
17,6,12,75.0%
17,6,13,75.0%
17,6,14,75.0%
17,6,15,75.0%
17,6,16,75.0%
17,6,17,75.0%
17,6,18,75.0%
17,6,19,75.0%
17,6,20,75.0%
18,6,1,44.0%
18,6,2,66.0%
18,6,3,73.0%
18,6,4,75.0%
18,6,5,75.0%
18,6,6,75.0%
18,6,7,75.0%
18,6,8,75.0%
18,6,9,75.0%
18,6,10,75.0%
18,6,11,75.0%
18,6,12,75.0%
18,6,13,75.0%
18,6,14,75.0%
18,6,15,75.0%
18,6,16,75.0%
18,6,17,75.0%
18,6,18,75.0%
18,6,19,75.0%
18,6,20,75.0%
19,6,1,44.0%
19,6,2,66.0%
19,6,3,73.0%
19,6,4,75.0%
19,6,5,75.0%
19,6,6,75.0%
19,6,7,75.0%
19,6,8,75.0%
19,6,9,75.0%
19,6,10,75.0%
19,6,11,75.0%
19,6,12,75.0%
19,6,13,75.0%
19,6,14,75.0%
19,6,15,75.0%
19,6,16,75.0%
19,6,17,75.0%
19,6,18,75.0%
19,6,19,75.0%
19,6,20,75.0%
20,6,1,44.0%
20,6,2,66.0%
20,6,3,73.0%
20,6,4,75.0%
20,6,5,75.0%
20,6,6,75.0%
20,6,7,75.0%
20,6,8,75.0%
20,6,9,75.0%
20,6,10,75.0%
20,6,11,75.0%
20,6,12,75.0%
20,6,13,75.0%
20,6,14,75.0%
20,6,15,75.0%
20,6,16,75.0%
20,6,17,75.0%
20,6,18,75.0%
20,6,19,75.0%
20,6,20,75.0%
